Date,Type,Location,notes
03/17,poop,pad,
03/17,pee,floor,
03/17,pee,pad,
03/17,pee,outside,
03/17,pee,pad,
03/17,poop,pad,
03/17,pee,floor,"she tried to go for the pad, but missed"
03/17,pee,outside,
03/17,pee,outside,
03/17,pee,floor,
03/17,pee,floor,
03/17,pee,pad,
03/17,pee,outside,
03/17,poop,pad,
03/17,pee,floor,
03/17,pee,floor,she probably thinks the blue carpet is a big pee pad
03/17,pee,pad,
03/17,pee,pad,
03/17,pee,pad,
03/17,pee,pad,
03/17,pee,floor,
03/17,poop,pad,
03/17,pee,outside,
03/17,pee,floor,fml the blue carpet is definitely a big pee pad
03/18,pee,pad,
03/18,pee,outside,
03/18,poop,pad,"she almost missed and started pooping mid-flight while I moved her to the pad, but ultimately a success"
03/18,pee,floor,
03/18,poop,floor,
03/18,pee,floor,
03/18,pee,outside,
03/18,pee,floor,
03/18,pee,floor,
03/18,pee ,outside,
03/18,poop,floor,
03/18,pee,floor,
03/18,pee,outside,
03/18,pee,floor,
03/18,pee,pad,
03/18,pee,floor,
03/18,poop,outside,FIRST OUTDOOR POOP HECK YEAH
03/18,pee,outside,
03/18,pee,floor,
03/18,poop,pad,SHE ATE A NUGGET FML EW
03/18,pee,pad,
03/18,pee,pad,sometimes she tinkles like two drops. is this just to get more food??
03/18,pee,pad,
03/19,pee,pad,
03/19,pee,outside,
03/19,poop,pad,
03/19,pee,pad,
03/19,pee,outside,outside
03/19,pee,floor,
03/19,pee,pad,
03/19,pee,floor,
03/19,poop,pad,
03/19,pee,pad,
03/19,pee,floor,
03/19,pee,outside,
03/19,poop,outside,
03/19,pee,pad,
03/19,pee,pad,
03/19,pee,floor,
03/19,pee,floor,tpark
03/19,pee,floor,tpark
03/19,poop,floor,tpark
03/19,pee,floor,tpark
03/19,pee,floor,tpark
03/19,pee,floor,
03/19,poop,floor,
03/20,pee,outside,
03/20,poop,outside,
03/20,pee,floor,
03/20,pee,outside,
03/20,poop,pad,
03/20,pee,floor,
03/20,pee,outside,
03/20,pee,outside,
03/20,pee,pad,
03/20,pee,floor,
03/20,pee,pad,
03/20,pee,pad,
03/20,poop,floor,
03/20,pee,pad,
03/20,pee,outside,
03/20,pee,outside,
03/20,pee,pad,
03/20,poop,pad,
03/20,pee,pad,
03/20,pee,pad,
03/21,pee,pad,
03/21,pee,pad,
03/21,poop,pad,
03/21,pee,pad,
03/21,pee,outside,
03/21,poop,pad,
03/21,pee,floor,
03/21,pee,pad,
03/21,pee,floor,
03/21,poop,pad,
03/21,pee,outside,
03/21,pee,outside,
03/21,pee,outside,
03/21,pee,outside,
03/21,pee,outside,
03/21,poop,outside,
03/21,pee,outside,
03/21,poop,outside,
03/21,pee,outside,
03/21,pee,outside,
03/21,poop,outside,
03/21,pee,pad,
03/22,poop,outside,
03/22,pee,outside,
03/22,pee,outside,
03/22,poop,outside,
03/22,pee,pad,
03/22,pee,floor,
03/22,pee,floor,
03/22,pee,outside,
03/22,pee,outside,
03/22,pee,outside,
03/22,pee,floor,
03/22,pee,floor,
03/22,poop,pad,
03/22,pee,floor,
03/22,pee,pad,
03/22,pee,outside,
03/22,pee,outside,
03/22,poop,pad,
03/22,pee,floor,
03/22,pee,pad,
03/22,poop,outside,
03/22,pee,pad,
03/22,pee,floor,
03/22,pee,pad,
03/22,pee,outside,
03/22,pee,outside,
03/22,pee,outside,
03/22,pee,pad,
03/22,poop,pad,
03/22,pee,pad,
03/22,poop,floor,
03/22,pee,pad,
03/23,pee,pad,
03/23,poop,pad,
03/23,poop,floor,
03/23,pee,outside,
03/23,pee,pad,
03/23,pee,pad,
03/23,pee,floor,
03/23,pee,pad,
03/23,poop,pad,
03/23,pee,floor,
03/23,pee,floor,
03/23,pee,floor,
03/23,pee,pad,
03/23,pee,floor,
03/23,pee,outside,
03/23,pee,outside,
03/23,poop,outside,
03/23,pee,pad,
03/23,pee,floor,
03/23,pee,pad,
03/23,pee,outside,
03/23,pee,outside,
03/23,pee,outside,
03/23,poop,pad,
03/23,pee,pad,
03/23,pee,pad,
03/23,pee,pad,
03/23,pee,pad,
03/23,pee,pad,
03/24,pee,outside,
03/24,poop,outside,
03/24,pee,outside,
03/24,pee,floor,
03/24,pee,outside,
03/24,pee,outside,
03/24,poop,floor,
03/24,pee,pad,
03/24,pee,pad,
03/24,pee,outside,
03/24,pee,outside,
03/24,poop,outside,
03/24,pee,floor,
03/24,pee,floor,
03/24,pee,outside,
03/24,pee,outside,
03/24,pee,floor,
03/24,pee,outside,
03/24,poop,outside,
03/24,pee,outside,
03/24,pee,pad,
03/24,pee,floor,
03/24,poop,pad,
03/24,pee,pad,
03/24,pee,pad,
03/24,poop,floor,
03/25,pee,pad,
03/25,poop,outside,
03/25,pee,pad,
03/25,pee,outside,
03/25,poop,outside,
03/25,pee,floor,
03/25,pee,floor,
03/25,pee,floor,
03/25,pee,outside,
03/25,pee,outside,
03/25,pee,outside,
03/25,pee,outside,
03/25,pee,outside,
03/25,poop,outside,
03/25,pee,pad,
03/25,pee,floor,
03/25,poop,outside,
03/25,pee,outside,
03/25,poop,outside,
03/25,pee,outside,
03/25,poop,outside,
03/25,pee,pad,
03/25,pee,pad,
03/25,pee,pad,
03/25,poop,floor,
03/25,pee,floor,
03/26,poop,floor,
03/26,poop,pad,
03/26,pee,outside,
03/26,pee,floor,
03/26,pee,outside,
03/26,poop,outside,
03/26,pee,pad,
03/26,pee,outside,
03/26,pee,outside,
03/26,pee,pad,
03/26,poop,floor,
03/26,pee,outside,
03/26,pee,pad,
03/26,pee,outside,
03/26,poop,outside,
03/26,pee,pad,
03/26,pee,pad,
03/26,pee,floor,
03/26,pee,floor,
03/26,pee,pad,tpark
03/26,pee,floor,tpark
03/26,poop,floor,tpark
03/26,pee,pad,tpark
03/26,pee,floor,tpark
03/27,pee,pad,
03/27,poop,pad,
03/27,pee,outside,
03/27,pee,floor,
03/27,pee,outside,
03/27,poop,outside,
03/27,pee,floor,
03/27,pee,pad,
03/27,pee,outside,
03/27,pee,pad,
03/27,pee,outside,
03/27,pee,outside,
03/27,pee,inside,
03/27,pee,outside,
03/27,pee,floor,
03/27,pee,floor,tpark
03/27,poop,pad,tpark
03/27,pee,floor,tpark
03/27,pee,pad,tpark
03/27,poop,floor,tpark
03/27,pee,pad,tpark
03/27,pee,floor,tpark
03/27,pee,floor,tpark
03/28,pee,outside,
03/28,poop,outside,
03/28,pee,outside,
03/28,pee,floor,
03/28,poop,pad,
03/28,pee,pad,
03/28,pee,floor,
03/28,pee,outside,
03/28,pee,outside,
03/28,pee,outside,
03/28,pee,outside,
03/28,pee,floor,
03/28,pee,pad,
03/28,pee,outside,
